Hoek van Holland;;;;;;;


Diefstal;;;;;;;
;;buurtprobleem fietsendiefstal;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoek van Holland;16;9,7;8,9;10;7,3
;;Rotterdam;18,7;18,2;20;18,5;18,2

;;buurtprobleem diefstal uit de auto;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoek van Holland;8,5;3,2;3,3;4,9;3,9
;;Rotterdam;16,6;15,8;15,4;15,7;14,1

;;buurtprobleem beschadiging aan of diefstal vanaf de auto;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoek van Holland;14,8;9,1;7,2;11,7;8
;;Rotterdam;16,9;16,8;18,2;18,2;17,2

;;slachtofferschap autodiefstal;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoek van Holland;0;0;0;0,3;0,2
;;Rotterdam;0,7;0,5;1,2;1;0,6

;;slachtofferschap diefstal uit de auto;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoek van Holland;0;0;0,7;1,9;1,3
;;Rotterdam;7,1;6,8;5,8;4,9;4

;;slachtofferschap diefstal vanaf de auto;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoek van Holland;13,7;12,3;15;11,4;9,3;;;;;
;;Rotterdam;29,6;30,5;25,2;15,7;14,7;;;;;

;;slachtofferschap fietsendiefstal;;;;;;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;1;1,4;5,6;1,5;1,8;;;;;
;;Rotterdam;5,3;5,2;9,1;3,9;5;;;;;

;;slachtofferschap overige diefstal;;;;;;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;0;0,6;3,4;2,1;3,6;;;;;
;;Rotterdam;2,6;3,7;3,3;3;3,2;;;;;

;;1.2.1 aangiften diefstal uit/vanaf motorvoertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;56;25;44;82;40;6,1;2,7;4,7;8,7;4,1
;;Rotterdam;9249;8086;9744;8917;7615;15,8;13,9;16,8;15,3;12,8

;;1.2.2 aangiften diefstal van motorvoertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;7;4;6;12;11;0,8;0,4;0,6;1,3;1,1
;;Rotterdam;1679;1423;1323;1411;1173;2,9;2,4;2,3;2,4;2

;;1.2.3 aangiften diefstal van brom-, snor-, fietsen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;74;59;84;110;95;8;6,4;8,9;11,7;9,8
;;Rotterdam;3983;3982;4927;4108;4438;6,8;6,8;8,5;7;7,5

;;1.2.4 aangiften zakkenrollerij;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;11;3;10;23;11;1,2;0,3;1,1;2,4;1,1
;;Rotterdam;2456;2570;2564;1996;2138;4,2;4,4;4,4;3,4;3,6

;;1.2.5 aangiften diefstal af/uit/van overige voertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;10;16;16;19;12;1,1;1,7;1,7;2;1,2
;;Rotterdam;682;850;834;780;729;1,2;1,5;1,4;1,3;1,2

;;2.5.2 aangiften winkeldiefstal;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;20;4;10;10;3;204,1;32,8;83,3;85,5;23,6
;;Rotterdam;1377;1227;1004;1050;775;263,1;178,9;147,7;156,6;122

;;1.6.2 aangiften overige vermogensdelicten;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;116;77;96;114;109;12,6;8,3;10,2;12,1;11,3
;;Rotterdam;6743;6410;6346;6196;7209;11,5;11;10,9;10,6;12,1

Drugsoverlast;;;;;;;;;;;;

;;buurtprobleem drugsoverlast;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;0;1,3;2,6;5,9;6,7;;;;;
;;Rotterdam;8,2;6,7;9,9;10,2;10,1;;;;;

;;2.1.1 meldingen drugsoverlast;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;% vaak;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;9;3;10;8;3;1;0,3;1,1;0,8;0,3
;;Rotterdam;1242;1135;1071;1022;726;2,1;2;1,8;1,7;1,2

Geweld;;;;;;;;;;;;

;;buurtprobleem bedreiging;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;0,6;1,3;0;1,1;1,1;;;;;
;;Rotterdam;3,3;3,1;4,5;4,8;5,8;;;;;

;;buurtprobleem geweldsdelicten;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;2,3;0;0;0,8;1,7;;;;;
;;Rotterdam;3,9;3,7;4,6;4,7;5,9;;;;;

;;buurtprobleem tasjesroof;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoek van Holland;1,7;0,6;0,6;1,5;0,3
;;Rotterdam;3,2;2,8;3,4;3;3,4

;;slachtofferschap tasjesroof met geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoek van Holland;0,6;0;0;0,2;0
;;Rotterdam;0,5;0,5;0,3;0,2;0,2

;;slachtofferschap tasjesroof zonder geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoek van Holland;0;0,6;0,2;0,9;1,1
;;Rotterdam;1,3;1,3;1,3;1,2;1,2

;;slachtofferschap bedreiging met geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;0,6;1,9;1,9;1,3;1,1;;;;;
;;Rotterdam;2,8;2,6;2,8;2,9;3,1;;;;;

;;slachtofferschap mishandeling;;;;;;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;0;0;0;0;0,3;;;;;
;;Rotterdam;0,4;0,5;0,8;0,4;0,8;;;;;

;;1.4.1 aangiften zedenmisdrijven;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;7;4;2;3;5;0,8;0,4;0,2;0,3;0,5
;;Rotterdam;474;433;376;352;236;0,8;0,7;0,6;0,6;0,4

;;1.4.3 aangiften openlijke geweldpleging tegen personen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;4;5;10;13;8;0,4;0,5;1,1;1,4;0,8
;;Rotterdam;637;700;621;620;508;1,1;1,2;1,1;1,1;0,9

;;1.4.6 aangiften straatroof;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;3;1;0;1;0;0,3;0,1;0;0,1;0
;;Rotterdam;1484;1262;1161;992;1018;2,5;2,2;2;1,7;1,7

;;1.4.7 aangiften overval;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;0;3;0;2;1;0;0,3;0;0,2;0,1
;;Rotterdam;212;245;304;295;235;0,4;0,4;0,5;0,5;0,4

;;1.4.4 meldingen bedreiging;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;8;15;8;8;17;0,9;1,6;0,9;0,8;1,8
;;Rotterdam;1723;1742;1591;1488;1287;2,9;3;2,7;2,5;2,2

;;1.4.5 meldingen mishandeling;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;71;77;84;103;72;7,7;8,3;8,9;10,9;7,5
;;Rotterdam;10335;10639;10667;10882;9915;17,6;18,3;18,4;18,6;16,7

Inbraak;;;;;;;;;;;;

;;buurtprobleem woninginbraak;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;
;;Hoek van Holland;14,8;14,3;12;11;7,7;
;;Rotterdam;12,9;12;12,1;11,1;13,5;

;;slachtofferschap poging tot inbraak;;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;
;;Hoek van Holland;1,1;3,9;3,9;1,2;2,2;
;;Rotterdam;3,5;3,1;3;2,5;2,8;

;;slachtofferschap woninginbraak;;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;
;;Hoek van Holland;1,1;1,9;1,5;0,8;0,8;
;;Rotterdam;2;2;2;1,4;1,3;

;;1.1.1 aangiften woninginbraak;;;;;;
;;;absoluut;;;;;genormaliseerd
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;36;33;56;34;36;9;8,1;13,4;8,1;8,3
;;Rotterdam;4420;3779;4018;3756;3787;16,4;14;14,9;13,8;13,7

;;1.1.2 aangiften inbraak in garages, schuren en tuinhuizen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;26;11;17;14;18;6,5;2,7;4,1;3,3;4,2
;;Rotterdam;2629;1881;1746;1595;1295;9,8;7;6,5;5,8;4,7

;;2.5.1 aangiften inbraak in bedrijven/instellingen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;21;32;36;24;16;54,5;89,1;100;68,2;41,1
;;Rotterdam;2730;2271;1957;1947;1237;132,4;108,7;90,9;89,2;55,2

Vandalisme;;;;;;;

;;buurtprobleem bekladding muren/gebouwen;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoek van Holland;2,3;2,6;2,2;8,8;6,6
;;Rotterdam;14,3;14,9;18,7;17;13,9

;;buurtprobleem vernieling telefooncellen/bus- of tramhokjes ;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoek van Holland;17,1;10,4;14,2;13,4;6,4
;;Rotterdam;18,6;17,7;19,4;16,2;11,8

;;slachtofferschap overige beschadiging/vernieling;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoek van Holland;0,6;2,6;7;4,8;7
;;Rotterdam;3,7;2,7;8,1;7,3;6,5

;;2.2.1 meldingen vernieling cq zaakbeschadiging;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;72;64;59;51;30;7,8;6,9;6,3;5,4;3,1
;;Rotterdam;3972;3999;3803;3203;2376;6,8;6,9;6,6;5,5;4

;;meldingen kleine buitenbranden;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;29;45;26;26;24;0,2;0,3;0,1;0,1;0,1
;;Rotterdam;967;970;900;849;556;0,7;0,7;0,7;0,6;0,4

Overlast;;;;;;;;;;;;

;;buurtprobleem overlast van groepen jongeren;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;
;;Hoek van Holland;3,4;3,2;8,2;12;11,4;
;;Rotterdam;14,3;14;19,1;20,1;20;

;;buurtprobleem dronken mensen op straat;;;;;;
;;% vaak;2006;2007;2008;2009;2011;
;;Hoek van Holland;2,8;2,6;2,8;6,2;10,8;
;;Rotterdam;5,4;5;8,7;10,5;11,1;

;;buurtprobleem lastig gevallen worden op straat;;;;;;
;;% vaak;2006;2007;2008;2009;2011;
;;Hoek van Holland;1,7;0;0;2,9;2;
;;Rotterdam;3,1;2,6;5,6;6,2;6,4;

;;2.4.1 meldingen burengerucht (relatieproblemen);;;;;;
;;;absoluut;;;;;genormaliseerd
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;119;121;155;177;111;12,9;13,1;16,5;18,8;11,5
;;Rotterdam;15483;15318;16151;16936;16299;26,4;26,3;27,8;29;27,4

;;2.7.1 meldingen overlast;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;166;119;157;202;96;18;12,9;16,7;21,4;9,9
;;Rotterdam;11983;10454;9484;9740;8323;20,4;18;16,3;16,7;14

Schoon en heel;;;;;;;;;;;;

;;buurtprobleem vervuiling op straat;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;10,8;7,8;12,5;16;15,6;;;;;
;;Rotterdam;33,8;32,9;36,3;36;33,9;;;;;

;;buurtprobleem hondenpoep op straat;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoek van Holland;27,8;28,6;31,9;29,9;29,5
;;Rotterdam;38,1;35,9;36,5;35,1;32,4

;;buurtprobleem vuil naast de container;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoek van Holland;4,5;1,3;9,1;9,7;7,5
;;Rotterdam;23,9;23,6;37,1;37,5;35,9

;;buurtprobleem wildplassen;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoek van Holland;2,3;2,6;6,7;6,4;9,5
;;Rotterdam;9,9;9,3;18;19,3;17,9

;;buurtprobleem gaten of verzakkingen in de bestrating;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;7,9;11;11,2;19,4;17,5;;;;;
;;Rotterdam;21,7;21,2;26,5;25,4;23,5;;;;;

;;buurtprobleem vernield of kapot straatmeubilair;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;4;2,6;8,4;9,3;8,9;;;;;
;;Rotterdam;8;8;13;12,8;10,4;;;;;

;;score op de productnormering;;;;;;;;;;
;;;Schoon;;;;;Heel;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;4,5;4,5;4,5;4,7;4,7;4,1;4,1;4;4;4,4
;;Rotterdam;4,1;4,2;4,2;4,4;4,5;3,7;3,7;3,7;3,9;4,1

Verkeer;;;;;;;

;;buurtprobleem aanrijdingen;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoek van Holland;2,3;1,9;0,8;4,4;1,7
;;Rotterdam;6,2;4,9;8,9;9,8;9

;;buurtprobleem agressief verkeersgedrag;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Hoek van Holland;5,7;5,2;3,2;8,6;7,8
;;Rotterdam;21,1;19,5;19,5;20,2;18,9

;;slachtofferschap aanrijding met doorrijden;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Hoek van Holland;1,1;0;1,3;1;1,5
;;Rotterdam;0,8;0,8;0,8;0,9;1

;;slachtofferschap aanrijding zonder doorrijden;;;;;;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;1,7;0,6;3,2;2,4;2,9;;;;;
;;Rotterdam;2;2,3;3,1;3,3;3;;;;;

;;1.3.1 meldingen verkeersongevallen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Hoek van Holland;74;70;79;93;73;8;7,6;8,4;9,9;7,6
;;Rotterdam;10352;10242;9755;9636;7830;17,7;17,6;16,8;16,5;13,2

Overig;;;;;;;;;;;;

;;tevredenheid met het wonen in de buurt ;;;;;;;;;;
;;% (zeer) tevreden;2006;2007;2008;2009;2011;;;;;
;;Hoek van Holland;89,2;90,9;90,2;90,9;90,3
;;Rotterdam;79,4;79,9;75;73,4;74,4



;;;;;;;
;;;;;;;



;;;;;;;
;;;;;;;



;;;;;;;
;;;;;;;



;;;;;;;
;;;;;;;



;;;;;;;
;;;;;;;



;;;;;;;
;;;;;;;



;;;;;;;
;;;;;;;
