IJsselmonde;;;;;;;


Diefstal;;;;;;;
;;buurtprobleem fietsendiefstal;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Oud IJsselmonde;5,6;9,1;6,1;6,5;8
;;Lombardijen;13,7;18,6;18,7;17,5;14,6
;;Groot IJsselmonde;14,4;16,4;19,8;15,8;19,7
;;Beverwaard;24;18,2;21,7;18,5;22,1
;;IJsselmonde;15,4;16,6;18,6;15,2;17,8
;;Rotterdam;18,7;18,2;20;18,5;18,2

;;buurtprobleem diefstal uit de auto;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Oud IJsselmonde;11,4;15;12,5;14,6;12
;;Lombardijen;9,1;13,4;11,3;11,2;11,1
;;Groot IJsselmonde;13,7;16,2;14,7;12,2;14,3
;;Beverwaard;15,9;18,1;20,1;15,3;23,5
;;IJsselmonde;12,8;15,8;14,8;13,3;15,2
;;Rotterdam;16,6;15,8;15,4;15,7;14,1

;;buurtprobleem beschadiging aan of diefstal vanaf de auto;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Oud IJsselmonde;8,5;15;13,1;11,5;9,6
;;Lombardijen;11,9;19,3;19,7;15,4;16,3
;;Groot IJsselmonde;10,7;16,1;19,4;16,5;16,1
;;Beverwaard;19,5;24;24,9;23,6;32,6
;;IJsselmonde;12,7;18,4;20;17,5;18,9
;;Rotterdam;16,9;16,8;18,2;18,2;17,2

;;slachtofferschap autodiefstal;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Oud IJsselmonde;0,5;1,6;0,7;0,3;0,4
;;Lombardijen;0;0;0,8;1,1;0,7
;;Groot IJsselmonde;0;0,8;0,5;0;1,1
;;Beverwaard;0,5;0;1,3;0,8;1,4
;;IJsselmonde;0,2;0,5;0,8;0,3;1
;;Rotterdam;0,7;0,5;1,2;1;0,6

;;slachtofferschap diefstal uit de auto;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Oud IJsselmonde;1,6;2,7;1;3;3
;;Lombardijen;1,6;10,8;5,2;2,6;5,1
;;Groot IJsselmonde;6,9;4;3,6;2,2;3,2
;;Beverwaard;3,8;6,3;3,8;4,1;2,9
;;IJsselmonde;3,8;6;3,6;2,9;3,5
;;Rotterdam;7,1;6,8;5,8;4,9;4

;;slachtofferschap diefstal vanaf de auto;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Oud IJsselmonde;15,3;28,4;18,7;12,8;11,6
;;Lombardijen;18,7;36;24,7;12,3;16,8
;;Groot IJsselmonde;28,7;19,8;21,4;13,7;16,1
;;Beverwaard;24,3;40,6;24,6;14,6;16,7
;;IJsselmonde;24,1;29,7;22,4;13,7;15,8
;;Rotterdam;29,6;30,5;25,2;15,7;14,7

;;slachtofferschap fietsendiefstal;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Oud IJsselmonde;0,9;1,7;3,9;2;2
;;Lombardijen;3,9;7,3;3,6;3,9;2,2
;;Groot IJsselmonde;1;3;3,1;3;2,4
;;Beverwaard;5,1;6,6;3,5;2,3;3;;;;;
;;IJsselmonde;2,7;4,7;3,4;2,7;2,5;;;;;
;;Rotterdam;5,3;5,2;9,1;3,9;5;;;;;

;;slachtofferschap overige diefstal;;;;;;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Oud IJsselmonde;1,7;1,3;0,9;4;2,4;;;;;
;;Lombardijen;0,6;6,4;2;4,1;4,5;;;;;
;;Groot IJsselmonde;2,9;2,5;4,2;2,8;3,8;;;;;
;;Beverwaard;4,4;5,2;6,7;5,7;4,9;;;;;
;;IJsselmonde;2,6;3,8;3,9;3,8;4;;;;;
;;Rotterdam;2,6;3,7;3,3;3;3,2;;;;;

;;1.2.1 aangiften diefstal uit/vanaf motorvoertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;163;92;121;173;99;29,4;16,4;21;29,5;17,1
;;Lombardijen;176;136;147;108;178;12,5;10;11,2;8,3;13,4
;;Groot IJsselmonde;302;285;257;265;271;11,3;10,5;9,5;9,9;10
;;Beverwaard;88;174;121;150;99;7,1;14,1;9,9;12,3;8,2
;;IJsselmonde;729;687;646;696;647;12,4;11,7;11,1;12;11,1
;;Rotterdam;9249;8086;9744;8917;7615;15,8;13,9;16,8;15,3;12,8

;;1.2.2 aangiften diefstal van motorvoertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;27;22;25;23;17;4,9;3,9;4,3;3,9;2,9
;;Lombardijen;75;37;29;21;20;5,3;2,7;2,2;1,6;1,5
;;Groot IJsselmonde;103;84;73;79;53;3,9;3,1;2,7;2,9;1,9
;;Beverwaard;25;33;32;23;25;2;2,7;2,6;1,9;2,1
;;IJsselmonde;230;176;159;146;115;3,9;3;2,7;2,5;2
;;Rotterdam;1679;1423;1323;1411;1173;2,9;2,4;2,3;2,4;2

;;1.2.3 aangiften diefstal van brom-, snor-, fietsen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;21;24;28;25;24;3,8;4,3;4,9;4,3;4,1
;;Lombardijen;122;132;130;70;75;8,6;9,7;9,9;5,4;5,6
;;Groot IJsselmonde;137;166;154;214;184;5,1;6,1;5,7;8;6,8
;;Beverwaard;54;40;28;34;33;4,3;3,2;2,3;2,8;2,7
;;IJsselmonde;334;362;340;343;316;5,7;6,2;5,9;5,9;5,4
;;Rotterdam;3983;3982;4927;4108;4438;6,8;6,8;8,5;7;7,5

;;1.2.4 aangiften zakkenrollerij;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;26;15;18;12;30;4,7;2,7;3,1;2;5,2
;;Lombardijen;18;18;11;22;22;1,3;1,3;0,8;1,7;1,7
;;Groot IJsselmonde;51;61;92;96;68;1,9;2,3;3,4;3,6;2,5
;;Beverwaard;8;8;6;7;10;0,6;0,7;0,5;0,6;0,8
;;IJsselmonde;103;102;127;137;130;1,8;1,7;2,2;2,4;2,2
;;Rotterdam;2456;2570;2564;1996;2138;4,2;4,4;4,4;3,4;3,6

;;1.2.5 aangiften diefstal af/uit/van overige voertuigen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;14;12;5;8;22;2,5;2,1;0,9;1,4;3,8
;;Lombardijen;16;23;26;23;14;1,1;1,7;2;1,8;1,1
;;Groot IJsselmonde;25;35;36;44;23;0,9;1,3;1,3;1,6;0,8
;;Beverwaard;12;9;13;14;17;1;0,7;1,1;1,1;1,4
;;IJsselmonde;67;79;80;89;76;1,1;1,3;1,4;1,5;1,3
;;Rotterdam;682;850;834;780;729;1,2;1,5;1,4;1,3;1,2

;;2.5.2 aangiften winkeldiefstal;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;21;12;12;6;5;807,7;153,9;148,1;69,8;61
;;Lombardijen;12;10;14;9;6;187,5;101;148,9;105,9;73,2
;;Groot IJsselmonde;40;27;28;37;14;289,9;134,3;142,9;180,5;70,4
;;Beverwaard;13;27;11;7;3;464,3;658,5;224,5;148,9;65,2
;;IJsselmonde;86;76;65;59;28;335,9;181,4;154,8;139,5;68,5
;;Rotterdam;1377;1227;1004;1050;775;263,1;178,9;147,7;156,6;122

;;1.6.2 aangiften overige vermogensdelicten;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;68;63;84;72;104;12,3;11,3;14,6;12,3;17,9
;;Lombardijen;92;92;94;87;127;6,5;6,7;7,2;6,7;9,5
;;Groot IJsselmonde;201;202;211;252;300;7,5;7,5;7,8;9,4;11
;;Beverwaard;64;51;48;54;75;5,1;4,1;3,9;4,4;6,2
;;IJsselmonde;425;408;437;465;606;7,2;7;7,5;8;10,4
;;Rotterdam;6743;6410;6346;6196;7209;11,5;11;10,9;10,6;12,1

Drugsoverlast;;;;;;;;;;;;

;;buurtprobleem drugsoverlast;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Oud IJsselmonde;1,7;4,4;2,2;7,1;4,6;;;;;
;;Lombardijen;2,3;9;12,2;7;8,3;;;;;
;;Groot IJsselmonde;5,1;4,4;6,4;6,7;5,6;;;;;
;;Beverwaard;6,3;9,1;11,7;8,4;22,5;;;;;
;;IJsselmonde;4,4;6,4;8,4;7,2;9,6;;;;;
;;Rotterdam;8,2;6,7;9,9;10,2;10,1;;;;;

;;2.1.1 meldingen drugsoverlast;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;% vaak;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;6;7;7;7;1;1,1;1,3;1,2;1,2;0,2
;;Lombardijen;12;10;10;12;13;0,8;0,7;0,8;0,9;1
;;Groot IJsselmonde;22;13;14;26;21;0,8;0,5;0,5;1;0,8
;;Beverwaard;8;12;10;11;12;0,6;1;0,8;0,9;1
;;IJsselmonde;48;42;41;56;47;0,8;0,7;0,7;1;0,8
;;Rotterdam;1242;1135;1071;1022;726;2,1;2;1,8;1,7;1,2

Geweld;;;;;;;;;;;;

;;buurtprobleem bedreiging;;;;;;;;;;
;;% vaak;2006;2007;2008;2009;2011;;;;;
;;Oud IJsselmonde;0;0,6;0,5;2,8;2,1;;;;;
;;Lombardijen;1,7;5,1;5,4;5;5,9;;;;;
;;Groot IJsselmonde;4,8;4;6,1;4,6;8,3;;;;;
;;Beverwaard;4,6;6,4;6,8;8,7;15,4;;;;;
;;IJsselmonde;3,5;4,5;5,5;5,4;8,6
;;Rotterdam;3,3;3,1;4,5;4,8;5,8

;;buurtprobleem geweldsdelicten;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Oud IJsselmonde;0;2,6;0,5;1,7;2,1
;;Lombardijen;0,6;3,2;3,6;4;5,5
;;Groot IJsselmonde;2,4;4,6;5,7;5,5;5,8
;;Beverwaard;6,2;9,1;6,7;7,7;32
;;IJsselmonde;2,5;5,1;4,9;5,4;10,8
;;Rotterdam;3,9;3,7;4,6;4,7;5,9

;;buurtprobleem tasjesroof;;;;;
;;% vaak;2006;2007;2008;2009;2011
;;Oud IJsselmonde;0;0;1,1;0,4;0,8
;;Lombardijen;1,1;3,8;4,4;2,7;3,4
;;Groot IJsselmonde;4,7;2,5;5,7;4,2;8,1
;;Beverwaard;2,9;3,2;2,6;2,4;8,4
;;IJsselmonde;3;2,7;4,3;3,1;6,4
;;Rotterdam;3,2;2,8;3,4;3;3,4

;;slachtofferschap tasjesroof met geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Oud IJsselmonde;0;0;0;0,2;0
;;Lombardijen;0;0;1,3;0;0,2
;;Groot IJsselmonde;0,8;0,6;0,5;0,1;0,2
;;Beverwaard;0,6;0,6;0,5;0;0,2
;;IJsselmonde;0,5;0,4;0,6;0,1;0,2
;;Rotterdam;0,5;0,5;0,3;0,2;0,2

;;slachtofferschap tasjesroof zonder geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Oud IJsselmonde;0,6;0;1,2;1,3;0,7
;;Lombardijen;0,5;1,3;0,9;0,9;1,9
;;Groot IJsselmonde;0,8;0,6;1,1;1,6;1,1
;;Beverwaard;0,6;0,6;0,4;0,6;1,3
;;IJsselmonde;0,6;0,7;0,9;1,3;1,3
;;Rotterdam;1,3;1,3;1,3;1,2;1,2

;;slachtofferschap bedreiging met geweld;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011
;;Oud IJsselmonde;1,1;2;3,7;1,8;2,7
;;Lombardijen;1,1;3,2;3,1;3,6;1,9
;;Groot IJsselmonde;1,7;1,6;1,9;3,2;3,7
;;Beverwaard;1,7;2;3,6;4,5;2,4
;;IJsselmonde;1,5;2,1;2,7;3;2,9
;;Rotterdam;2,8;2,6;2,8;2,9;3,1

;;slachtofferschap mishandeling;;;;;;;;;;
;;% slachtofferschap;2006;2007;2008;2009;2011;;;;;
;;Oud IJsselmonde;0;0;0,7;0,7;0,5;;;;;
;;Lombardijen;0,5;0;1,3;0,2;0,6;;;;;
;;Groot IJsselmonde;0;0,3;0,8;0,5;0,5;;;;;
;;Beverwaard;0,5;0;1,7;0,4;0,6;;;;;
;;IJsselmonde;0,2;0,1;1,1;0,5;0,5;;;;;
;;Rotterdam;0,4;0,5;0,8;0,4;0,8;;;;;

;;1.4.1 aangiften zedenmisdrijven;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;10;6;3;3;3;1,8;1,1;0,5;0,5;0,5
;;Lombardijen;14;18;17;5;7;1;1,3;1,3;0,4;0,5
;;Groot IJsselmonde;28;33;15;23;13;1;1,2;0,6;0,9;0,5
;;Beverwaard;14;13;11;5;7;1,1;1,1;0,9;0,4;0,6
;;IJsselmonde;66;70;46;36;30;1,1;1,2;0,8;0,6;0,5
;;Rotterdam;474;433;376;352;236;0,8;0,7;0,6;0,6;0,4

;;1.4.3 aangiften openlijke geweldpleging tegen personen;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;12;6;7;6;6;2,2;1,1;1,2;1;1
;;Lombardijen;6;12;14;6;4;0,4;0,9;1,1;0,5;0,3
;;Groot IJsselmonde;38;34;32;30;25;1,4;1,3;1,2;1,1;0,9
;;Beverwaard;12;7;9;8;10;1;0,6;0,7;0,7;0,8
;;IJsselmonde;68;59;62;50;45;1,2;1;1,1;0,9;0,8
;;Rotterdam;637;700;621;620;508;1,1;1,2;1,1;1,1;0,9

;;1.4.6 aangiften straatroof;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;5;2;3;3;1;0,9;0,4;0,5;0,5;0,2
;;Lombardijen;28;24;29;25;19;2;1,8;2,2;1,9;1,4
;;Groot IJsselmonde;90;44;38;49;48;3,4;1,6;1,4;1,8;1,8
;;Beverwaard;22;8;4;13;7;1,8;0,7;0,3;1,1;0,6
;;IJsselmonde;145;78;74;90;75;2,5;1,3;1,3;1,6;1,3
;;Rotterdam;1484;1262;1161;992;1018;2,5;2,2;2;1,7;1,7

;;1.4.7 aangiften overval;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;1;0;2;6;0;0,2;0;0,3;1;0
;;Lombardijen;9;7;8;2;1;0,6;0,5;0,6;0,2;0,1
;;Groot IJsselmonde;8;17;22;15;16;0,3;0,6;0,8;0,6;0,6
;;Beverwaard;5;1;5;6;6;0,4;0,1;0,4;0,5;0,5
;;IJsselmonde;23;25;37;29;23;0,4;0,4;0,6;0,5;0,4
;;Rotterdam;212;245;304;295;235;0,4;0,4;0,5;0,5;0,4

;;1.4.4 meldingen bedreiging;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;13;14;11;11;10;2,3;2,5;1,9;1,9;1,7
;;Lombardijen;32;27;30;36;40;2,3;2;2,3;2,8;3
;;Groot IJsselmonde;78;81;70;65;54;2,9;3;2,6;2,4;2
;;Beverwaard;30;34;34;35;27;2,4;2,8;2,8;2,9;2,2
;;IJsselmonde;153;156;145;147;131;2,6;2,7;2,5;2,5;2,2
;;Rotterdam;1723;1742;1591;1488;1287;2,9;3;2,7;2,5;2,2

;;1.4.5 meldingen mishandeling;;;;;;;;;;
;;;absoluut;;;;;genormaliseerd;;;;
;;;2006;2007;2008;2009;2011;2006;2007;2008;2009;2011
;;Oud IJsselmonde;80;71;81;85;74;14,4;12,7;14,1;14,5;12,7
;;Lombardijen;193;181;157;213;178;13,7;13,3;12;16,4;13,4
;;Groot IJsselmonde;328;367;350;374;360;12,3;13,6;13;13,9;13,2
;;Beverwaard;166;191;167;183;176;13,4;15,5;13,7;15;14,6
;;IJsselmonde;767;810;755;855;788;13;13,8;13;14,8;13,5
